# time(fs)  total O H
2.720000000000000000e+02 -5.503239151806371340e-04 -8.600060750108271315e-05 -4.643233076795542989e-04
2.740000000000000000e+02 -3.716033885976002512e-04 -8.538084023663515087e-05 -2.862225483609651274e-04
2.760000000000000000e+02 -8.660451866129384468e-05 -8.432644704630769250e-05 -2.278071614986138622e-06
2.780000000000000000e+02 1.729515349042704182e-04 -8.337260921384813807e-05 2.563241441181185833e-04
2.800000000000000000e+02 2.660746332520218249e-04 -8.307335092186012894e-05 3.491479841738818861e-04
2.820000000000000000e+02 1.640355690830287857e-04 -8.355494766308200637e-05 2.475905167461107514e-04
2.840000000000000000e+02 -4.984311745855124411e-05 -8.452019316964744342e-05 3.467707571109619931e-05
2.860000000000000000e+02 -2.824983646122950051e-04 -8.560776972861942077e-05 -1.968905948836755979e-04
2.880000000000000000e+02 -4.825654151370084403e-04 -8.656023245961778283e-05 -3.960051826773907388e-04
2.900000000000000000e+02 -6.011266339969946644e-04 -8.710224696703556093e-05 -5.140243870299591577e-04
2.920000000000000000e+02 -5.764159803033850607e-04 -8.695126529580874666e-05 -4.894647150075764766e-04
2.940000000000000000e+02 -3.997049348537967716e-04 -8.609698722466582320e-05 -3.136079476291309077e-04
2.960000000000000000e+02 -1.614266283268841703e-04 -8.492966000514753943e-05 -7.649696832173660376e-05
2.980000000000000000e+02 1.246213691796887743e-05 -8.394713053003510534e-05 9.640926744800397429e-05
3.000000000000000000e+02 6.061898318918503611e-05 -8.338687415444013564e-05 1.440058573436251582e-04
3.020000000000000000e+02 -1.642234282743710575e-06 -8.322122943036006754e-05 8.157899514761636777e-05
3.040000000000000000e+02 -1.429966607272538316e-04 -8.337261653306386039e-05 -5.962404419418997124e-05
3.060000000000000000e+02 -3.363286803089616129e-04 -8.372599589968833435e-05 -2.526026844092732785e-04
3.080000000000000000e+02 -5.208137719319384708e-04 -8.397293026221254615e-05 -4.368408416697260738e-04
3.100000000000000000e+02 -6.031841877667907127e-04 -8.368498784247216306e-05 -5.194991999243186174e-04
3.120000000000000000e+02 -5.341374552539569949e-04 -8.266690025118162311e-05 -4.514705550027754396e-04
3.140000000000000000e+02 -3.610253666329030263e-04 -8.113073736417876654e-05 -2.798946292687243004e-04
3.160000000000000000e+02 -1.790420253174909129e-04 -7.945006513804256311e-05 -9.959196017944834983e-05
3.180000000000000000e+02 -4.829800460538478290e-05 -7.784894922736149852e-05 2.955094462197669191e-05
