# wavenumber(cm^-1)  total O H
4.804756254074944195e+02 6.968357203600122896e-01 3.381271411129211334e-03 6.934544489488831953e-01
4.845474527414562544e+02 7.007695509698008696e-01 3.321231679359301463e-03 6.974483192904417095e-01
4.886192800754180894e+02 7.039871520551720385e-01 3.265035426341948623e-03 7.007221166288298830e-01
4.926911074093798675e+02 7.064119298951203607e-01 3.211877874269229195e-03 7.032000520208510075e-01
4.967629347433417024e+02 7.080570488255739647e-01 3.161111492972977412e-03 7.048959373326010303e-01
5.008347620773035374e+02 7.090271116643194205e-01 3.112356923467477117e-03 7.059147547408517465e-01
5.049065894112653154e+02 7.094904989866798184e-01 3.065516237851854866e-03 7.064249827488280342e-01
5.089784167452271504e+02 7.096316767483470400e-01 3.020692099620361174e-03 7.066109846487267365e-01
5.130502440791889285e+02 7.095992750254487280e-01 2.978045945273798817e-03 7.066212290801747731e-01
5.171220714131508203e+02 7.094667823185208944e-01 2.937645971895293424e-03 7.065291363466256191e-01
5.211938987471125984e+02 7.092180982072242568e-01 2.899356543698292620e-03 7.063187416635261506e-01
5.252657260810743765e+02 7.087616907103392316e-01 2.862805166030314014e-03 7.058988855443087962e-01
5.293375534150362682e+02 7.079677196064604328e-01 2.827436969063007368e-03 7.051402826373973642e-01
5.334093807489980463e+02 7.067153837432327279e-01 2.792638284818563764e-03 7.039227454584141563e-01
5.374812080829598244e+02 7.049351674937479606e-01 2.757889254354123614e-03 7.021772782393937984e-01
5.415530354169217162e+02 7.026331921834566563e-01 2.722896916179764256e-03 6.999102952672767719e-01
5.456248627508834943e+02 6.998913681128449138e-01 2.687667096194403058e-03 6.972037010166504123e-01
5.496966900848452724e+02 6.968450954574849643e-01 2.652493073698221696e-03 6.941926023837867721e-01
5.537685174188071642e+02 6.936471359429500216e-01 2.617865018909840309e-03 6.910292709240402065e-01
5.578403447527689423e+02 6.904298321522160942e-01 2.584328354528520142e-03 6.878455037976876074e-01
5.619121720867307204e+02 6.872772186407811734e-01 2.552333996506350039e-03 6.847248846442746117e-01
5.659839994206926121e+02 6.842143321565701264e-01 2.522124438788878216e-03 6.816922077177812733e-01
5.700558267546543902e+02 6.812148979403609417e-01 2.493686850020041500e-03 6.787212110903407813e-01
5.741276540886162820e+02 6.782227083656814370e-01 2.466782148627332059e-03 6.757559262170540482e-01
5.781994814225780601e+02 6.751782729257315152e-01 2.441034804794096295e-03 6.727372381209374419e-01
5.822713087565398382e+02 6.720416693335776737e-01 2.416049834251348966e-03 6.696256194993264188e-01
5.863431360905017300e+02 6.688048192266379255e-01 2.391516966307217183e-03 6.664133022603306866e-01
5.904149634244635081e+02 6.654905696300058571e-01 2.367269095899950278e-03 6.631233005341058417e-01
5.944867907584252862e+02 6.621404371374761677e-01 2.343280019372583067e-03 6.597971571181034944e-01
5.985586180923871780e+02 6.587962186657561059e-01 2.319608623867370437e-03 6.564766100418887307e-01
6.026304454263489561e+02 6.554820011622221054e-01 2.296315338765274241e-03 6.531856858234567076e-01
6.067022727603107342e+02 6.521922897916632156e-01 2.273385393078328730e-03 6.499189043985849068e-01
6.107741000942726259e+02 6.488895844220727849e-01 2.250689549916686134e-03 6.466388948721559782e-01
6.148459274282344040e+02 6.455117219258769135e-01 2.227998332877581967e-03 6.432837235929993458e-01
6.189177547621961821e+02 6.419866321745001381e-01 2.205045873857812595e-03 6.397815863006423021e-01
6.229895820961580739e+02 6.382504932782596674e-01 2.181621551394145094e-03 6.360688717268655479e-01
6.270614094301198520e+02 6.342648373306627452e-01 2.157657684637836332e-03 6.321071796460248082e-01
6.311332367640816301e+02 6.300287748676602906e-01 2.133282696266450978e-03 6.278954921713938431e-01
6.352050640980435219e+02 6.255837793647799350e-01 2.108820376506382460e-03 6.234749589882735421e-01
6.392768914320053000e+02 6.210099986067726396e-01 2.084732869470740796e-03 6.189252657373021105e-01
6.433487187659670781e+02 6.164145662944375825e-01 2.061521932276524395e-03 6.143530443621610937e-01
6.474205460999289699e+02 6.119137563955246994e-01 2.039614670277660555e-03 6.098741417252470098e-01
6.514923734338907479e+02 6.076120042653195830e-01 2.019263381736185504e-03 6.055927408835835024e-01
6.555642007678525260e+02 6.035817104087578544e-01 2.000484295475998126e-03 6.015812261132816863e-01
6.596360281018144178e+02 5.998481235648462917e-01 1.983049203274215352e-03 5.978650743615719909e-01
6.637078554357761959e+02 5.963831727226946988e-01 1.966530822392052649e-03 5.944166419003026336e-01
6.677796827697379740e+02 5.931106624794578730e-01 1.950390603418931338e-03 5.911602718760389230e-01
6.718515101036998658e+02 5.899228106715410647e-01 1.934089041112099132e-03 5.879887216304290343e-01
6.759233374376616439e+02 5.867051329491146383e-01 1.917194501278022449e-03 5.847879384478366083e-01
6.799951647716234220e+02 5.833639691010098494e-01 1.899467291190015629e-03 5.814645018098199003e-01
6.840669921055853138e+02 5.798494471428414787e-01 1.880900742557181995e-03 5.779685464002841666e-01
6.881388194395470919e+02 5.761671375757828617e-01 1.861709681965509691e-03 5.743054278938174440e-01
6.922106467735089836e+02 5.723742603257333528e-01 1.842267681454420967e-03 5.705319926442788958e-01
6.962824741074707617e+02 5.685605362529317919e-01 1.823006149594460362e-03 5.667375301033372725e-01
7.003543014414325398e+02 5.648184325666864014e-01 1.804298205987514992e-03 5.630141343606990256e-01
7.044261287753944316e+02 5.612111374990549351e-01 1.786355636198837206e-03 5.594247818628561575e-01
7.084979561093562097e+02 5.577478214019820912e-01 1.769165825083074840e-03 5.559786555768988503e-01
7.125697834433179878e+02 5.543740069660884062e-01 1.752486719586430304e-03 5.526215202465019072e-01
7.166416107772798796e+02 5.509805646556287240e-01 1.735903126271900934e-03 5.492446615293568035e-01
7.207134381112416577e+02 5.474292620528833364e-01 1.718930761176355043e-03 5.457103312917068738e-01
7.247852654452034358e+02 5.435877154495702968e-01 1.701140450177614661e-03 5.418865749993927450e-01
7.288570927791653276e+02 5.393636891249702359e-01 1.682268355380883360e-03 5.376814207695892467e-01
7.329289201131271057e+02 5.347289230438776464e-01 1.662281603594363989e-03 5.330666414402832620e-01
7.370007474470888837e+02 5.297259481212296395e-01 1.641381539925237248e-03 5.280845665813043155e-01
7.410725747810507755e+02 5.244565531069512732e-01 1.619945169044032266e-03 5.228366079379072051e-01
7.451444021150125536e+02 5.190559639504229716e-01 1.598423372050730359e-03 5.174575405783722326e-01
7.492162294489743317e+02 5.136606523244060529e-01 1.577226438752061307e-03 5.120834258856538090e-01
7.532880567829362235e+02 5.083788745736452785e-01 1.556629644324903023e-03 5.068222449293202647e-01
7.573598841168980016e+02 5.032713872642531339e-01 1.536723676173613233e-03 5.017346635880796102e-01
7.614317114508597797e+02 4.983460779423786180e-01 1.517419708520833686e-03 4.968286582338578006e-01
7.655035387848216715e+02 4.935658825225354707e-01 1.498502049736463292e-03 4.920673804727989653e-01
7.695753661187834496e+02 4.888657912869519007e-01 1.479708047300629060e-03 4.873860832396512133e-01
7.736471934527452277e+02 4.841729805209135096e-01 1.460809196718377027e-03 4.827121713241950829e-01
7.777190207867071194e+02 4.794244052782645760e-01 1.441670217457233791e-03 4.779827350608073511e-01
7.817908481206688975e+02 4.745780745267074718e-01 1.422272378174435810e-03 4.731558021485330334e-01
7.858626754546306756e+02 4.696167763406658979e-01 1.402699755132838511e-03 4.682140765855329900e-01
7.899345027885925674e+02 4.645452649644472021e-01 1.383098127958764601e-03 4.631621668364885314e-01
7.940063301225543455e+02 4.593832282458296667e-01 1.363622637118602548e-03 4.580196056087110779e-01
7.980781574565161236e+02 4.541565898025499703e-01 1.344390897223701796e-03 4.528121989053260910e-01
8.021499847904780154e+02 4.488891731707260746e-01 1.325453802858422197e-03 4.475637193678676518e-01
8.062218121244397935e+02 4.435959781218839493e-01 1.306789051506548850e-03 4.422891890703773976e-01
8.102936394584015716e+02 4.382787276187016801e-01 1.288315150641637565e-03 4.369904124680600299e-01
8.143654667923634634e+02 4.329240996539888142e-01 1.269918547043863855e-03 4.316541811069449786e-01
8.184372941263252415e+02 4.275050228365294691e-01 1.251484557699638180e-03 4.262535382788297800e-01
8.225091214602871332e+02 4.219852834368774674e-01 1.232923815816907220e-03 4.207523596210604455e-01
8.265809487942490250e+02 4.163272097727190868e-01 1.214188919977289820e-03 4.151130208527417653e-01
8.306527761282106894e+02 4.105013437291516465e-01 1.195279519601200220e-03 4.093060642095504020e-01
8.347246034621726949e+02 4.044960415200146153e-01 1.176237026785961152e-03 4.033198044932285731e-01
8.387964307961343593e+02 3.983243149323031362e-01 1.157131887165091435e-03 3.971671830451380392e-01
8.428682581300961374e+02 3.920253552220287485e-01 1.138046834492879075e-03 3.908873083875358256e-01
8.469400854640580292e+02 3.856592558358161726e-01 1.119059187320390041e-03 3.845401966484957024e-01
8.510119127980199210e+02 3.792952772166350850e-01 1.100224570926702956e-03 3.781950526457083517e-01
8.550837401319815854e+02 3.729960436241713806e-01 1.081563907392734964e-03 3.719144797167786565e-01
8.591555674659433635e+02 3.668016295690048612e-01 1.063055281517137326e-03 3.657385742874877388e-01
8.632273947999052552e+02 3.607179781224091886e-01 1.044632224854514764e-03 3.596733458975546194e-01
8.672992221338670333e+02 3.547132231609768649e-01 1.026189722888337565e-03 3.536870334380884939e-01
8.713710494678289251e+02 3.487234438041487694e-01 1.007598481596061381e-03 3.477158453225526746e-01
8.754428768017908169e+02 3.426667527592576201e-01 9.887265214894799554e-04 3.416780262377680510e-01
8.795147041357524813e+02 3.364622190230545096e-01 9.694651754277496675e-04 3.354927538476267790e-01
8.835865314697144868e+02 3.300487039414886636e-01 9.497545948174231003e-04 3.290989493466712767e-01
8.876583588036761512e+02 3.233986971219964812e-01 9.296026900421324509e-04 3.224690944319542618e-01
8.917301861376379293e+02 3.165236723679761832e-01 9.090917685286997729e-04 3.156145805994474141e-01
8.958020134715998211e+02 3.094698947667559041e-01 8.883693320641872010e-04 3.085815254346916392e-01
8.998738408055617128e+02 3.023062544110811101e-01 8.676232704055014677e-04 3.014386311406755392e-01
9.039456681395233772e+02 2.951077831277350016e-01 8.470460899755730610e-04 2.942607370377593456e-01
9.080174954734851553e+02 2.879394300007421803e-01 8.267964588120341315e-04 2.871126335419301734e-01
9.120893228074470471e+02 2.808442112441460470e-01 8.069678721834762803e-04 2.800372433719625631e-01
9.161611501414088252e+02 2.738382274171975439e-01 7.875728485361695522e-04 2.730506545686613440e-01
