4.926911074093798675e+02 -6.913220180767489015e-06 -7.630133631896195406e-04
4.967629347433414182e+02 -6.859723925260549044e-06 -7.555459091407216261e-04
5.008347620773036510e+02 -6.788565212890015755e-06 -7.461630368444665965e-04
5.049065894112653154e+02 -6.722295474001961188e-06 -7.373503639974796249e-04
5.089784167452271504e+02 -6.698160161303681105e-06 -7.331814012399813030e-04
5.130502440791890422e+02 -6.748790728751628990e-06 -7.371918541884375353e-04
5.171220714131507066e+02 -6.886419659462284423e-06 -7.506642752981090242e-04
5.211938987471128257e+02 -7.096831964476161986e-06 -7.719932829019515459e-04
5.252657260810743765e+02 -7.344514136529506740e-06 -7.972744462853783871e-04
5.293375534150362682e+02 -7.585650482758516954e-06 -8.217361855135444076e-04
5.334093807489982737e+02 -7.782814665064043727e-06 -8.413372462915515507e-04
5.374812080829598244e+02 -7.915344792309725335e-06 -8.538786204681791947e-04
5.415530354169217162e+02 -7.982006324036579591e-06 -8.592712365876901872e-04
5.456248627508832669e+02 -7.996172647379058441e-06 -8.589963158261990691e-04
5.496966900848453861e+02 -7.976718033082328942e-06 -8.551126599127082404e-04
5.537685174188070505e+02 -7.939007629184027402e-06 -8.492866450453521879e-04
5.578403447527689423e+02 -7.889609633541173932e-06 -8.422317164930891772e-04
5.619121720867308341e+02 -7.826305881358158121e-06 -8.337194123113162922e-04
5.659839994206924985e+02 -7.742681503246683024e-06 -8.230771154564165294e-04
5.700558267546546176e+02 -7.634938527828790449e-06 -8.099155311955411399e-04
5.741276540886162820e+02 -7.508041860764456301e-06 -7.947763409979714724e-04
5.781994814225780601e+02 -7.378804777006002336e-06 -7.794483428902237781e-04
5.822713087565396108e+02 -7.274677088129826322e-06 -7.668265104383085572e-04
5.863431360905016163e+02 -7.228371647502298445e-06 -7.603349573990665893e-04
5.904149634244636218e+02 -7.269710693941846187e-06 -7.630652952408121040e-04
5.944867907584250588e+02 -7.416967725632007719e-06 -7.768730465959687017e-04
5.985586180923872917e+02 -7.670355376818234871e-06 -8.017098884771171321e-04
6.026304454263487287e+02 -8.010017860627857621e-06 -8.354343454098948300e-04
6.067022727603107342e+02 -8.399855165583934059e-06 -8.742320417322328643e-04
6.107741000942727396e+02 -8.796857341524900125e-06 -9.136030578767266597e-04
6.148459274282342903e+02 -9.163763831004797616e-06 -9.496814319232491910e-04
6.189177547621964095e+02 -9.481416091125734845e-06 -9.805061362301711533e-04
6.229895820961579602e+02 -9.756780330076704683e-06 -1.006828901672534356e-03
6.270614094301198520e+02 -1.002362090445039163e-05 -1.032154712376439493e-03
6.311332367640819712e+02 -1.033501321248510192e-05 -1.061942992744055979e-03
6.352050640980434082e+02 -1.074956816617944001e-05 -1.102174007710703639e-03
6.392768914320054137e+02 -1.131538937557609274e-05 -1.157701526511480811e-03
6.433487187659668507e+02 -1.205653973492338368e-05 -1.230882832757455858e-03
6.474205460999290835e+02 -1.296584441563896130e-05 -1.320872019501204532e-03
6.514923734338905206e+02 -1.400560085719595709e-05 -1.423726441921909598e-03
6.555642007678525260e+02 -1.511514456170084998e-05 -1.533207549505661866e-03
6.596360281018145315e+02 -1.622228886948151859e-05 -1.641963797837981852e-03
6.637078554357760822e+02 -1.725510661105229213e-05 -1.742733017378026968e-03
6.677796827697382014e+02 -1.815137397606633116e-05 -1.829293716488717813e-03
6.718515101036997521e+02 -1.886463878992902804e-05 -1.897064578469306265e-03
6.759233374376616439e+02 -1.936739885172216041e-05 -1.943406075714064095e-03
6.799951647716230809e+02 -1.965255158809338097e-05 -1.967744902997934243e-03
6.840669921055852001e+02 -1.973391320512214681e-05 -1.971603620376931841e-03
6.881388194395472055e+02 -1.964561699082340116e-05 -1.958517950278192404e-03
6.922106467735088700e+02 -1.943934750770912669e-05 -1.933739653518844583e-03
6.962824741074708754e+02 -1.917832262755155129e-05 -1.903620263897885063e-03
7.003543014414321988e+02 -1.892789965927334876e-05 -1.874668336984499240e-03
7.044261287753944316e+02 -1.874425755278976634e-05 -1.852428785762056263e-03
7.084979561093564371e+02 -1.866399311794281275e-05 -1.840467016142866702e-03
7.125697834433177604e+02 -1.869787474291842704e-05 -1.839775570141078970e-03
7.166416107772801070e+02 -1.883105926221212482e-05 -1.848823324150743229e-03
7.207134381112414303e+02 -1.903006573208677505e-05 -1.864266253487676436e-03
7.247852654452034358e+02 -1.925450425187304396e-05 -1.882113915613989720e-03
7.288570927791656686e+02 -1.946992204526746162e-05 -1.898989728050732347e-03
7.329289201131269920e+02 -1.965781228349486613e-05 -1.913098566178294798e-03
7.370007474470889974e+02 -1.981991931895657691e-05 -1.924627661720579959e-03
7.410725747810506618e+02 -1.997597068763069217e-05 -1.935505135503853488e-03
7.451444021150126673e+02 -2.015605382821346060e-05 -1.948643772635725050e-03
7.492162294489739907e+02 -2.039028060760463657e-05 -1.966932999911367042e-03
7.532880567829362235e+02 -2.069876984644389441e-05 -1.992274738273744697e-03
7.573598841168982290e+02 -2.108442637662950563e-05 -2.024900638554618954e-03
7.614317114508595523e+02 -2.152993755566844311e-05 -2.063102644170598191e-03
7.655035387848218988e+02 -2.199933384448447062e-05 -2.103403706995546525e-03
7.695753661187832222e+02 -2.244366510305209939e-05 -2.141119082499958609e-03
7.736471934527452277e+02 -2.280984122777948744e-05 -2.171211538614937521e-03
7.777190207867074605e+02 -2.305130261619240271e-05 -2.189309063965860780e-03
7.817908481206687838e+02 -2.313877246657511518e-05 -2.192716759532071288e-03
7.858626754546309030e+02 -2.306894332936425832e-05 -2.181219785353412377e-03
7.899345027885923400e+02 -2.286882593619655354e-05 -2.157466129501333079e-03
7.940063301225544592e+02 -2.259396705265133480e-05 -2.126766851390640700e-03
7.980781574565157825e+02 -2.231998027350706238e-05 -2.096270642290973783e-03
8.021499847904780154e+02 -2.212862908514315845e-05 -2.073638687946957691e-03
8.062218121244400209e+02 -2.209149546227208647e-05 -2.065511419444927485e-03
8.102936394584013442e+02 -2.225534479606307563e-05 -2.076154124412193415e-03
8.143654667923636907e+02 -2.263311477529838779e-05 -2.106644422089639680e-03
8.184372941263250141e+02 -2.320292518366570076e-05 -2.154815878556862706e-03
8.225091214602871332e+02 -2.391509373855030195e-05 -2.215944580079928609e-03
8.265809487942493661e+02 -2.470471065535104622e-05 -2.283940680881163011e-03
8.306527761282106894e+02 -2.550577525016163382e-05 -2.352668170105600646e-03
8.347246034621728086e+02 -2.626279390274809743e-05 -2.417013243079476660e-03
8.387964307961341319e+02 -2.693706181860186622e-05 -2.473450006098413742e-03
8.428682581300961374e+02 -2.750701881323505395e-05 -2.520055457856884128e-03
8.469400854640583702e+02 -2.796419653000537249e-05 -2.556121111143303502e-03
8.510119127980199210e+02 -2.830755482855300311e-05 -2.581622821677073167e-03
8.550837401319819264e+02 -2.853903813980870663e-05 -2.596808723800986523e-03
8.591555674659432498e+02 -2.866210428910556082e-05 -2.602062573866884172e-03
8.632273947999053689e+02 -2.868335209965447915e-05 -2.598049610471241111e-03
8.672992221338669196e+02 -2.861591222039632393e-05 -2.586019741725432541e-03
8.713710494678289251e+02 -2.848252025848477733e-05 -2.568077893684126908e-03
8.754428768017909306e+02 -2.831635459878129843e-05 -2.547249492663990027e-03
8.795147041357524813e+02 -2.815860673979465078e-05 -2.527251685387240342e-03
8.835865314697146005e+02 -2.805293680765556683e-05 -2.511988682857317721e-03
8.876583588036761512e+02 -2.803800428244718424e-05 -2.504882019162465827e-03
8.917301861376379293e+02 -2.813985648468462014e-05 -2.508197352150545907e-03
8.958020134715994800e+02 -2.836602251338084783e-05 -2.522532285733459535e-03
